10.132.71.6 Avg=2.90667
10.132.71.169 Avg=1.52
10.132.72.154 Avg=1.61
10.132.73.215 Avg=2.41667
10.132.75.239 Avg=2.27333
10.132.78.126 Avg=2.76667
10.132.81.117 Avg=2.06667
10.132.81.184 Avg=70.0667
10.132.86.58 Avg=2.37333
10.132.86.67 Avg=2.34333
10.132.86.216 Avg=2.61667
10.132.86.233 Avg=2.33
10.132.86.234 Avg=2.97133
10.132.86.240 Avg=2.04833
10.132.87.52 Avg=2.95
10.132.87.87 Avg=2.41
10.132.87.104 Avg=2.00667
10.132.87.174 Avg=2.25333
10.132.87.225 Avg=2.52667
10.132.87.233 Avg=2.21
10.132.88.46 Avg=1.96
10.132.88.61 Avg=1.94
10.132.88.40 Avg=2.57
10.132.88.196 Avg=2.09667
10.132.88.211 Avg=2.84333
10.132.89.42 Avg=1.95
10.132.89.133 Avg=1.61333
10.132.90.78 Avg=1.78667
10.132.91.24 Avg=1.945
10.132.91.62 Avg=2.57333
10.132.91.98 Avg=2.68667
10.132.91.180 Avg=1.435
10.132.92.126 Avg=2.07667
10.132.92.165 Avg=3.01
10.132.93.51 Avg=2.71333
10.132.93.176 Avg=2.65667
10.132.94.72 Avg=1.37333
10.132.94.125 Avg=2.07533
10.132.94.136 Avg=2.09667
10.132.94.158 Avg=3.27667
10.132.95.206 Avg=2.59333
10.132.95.211 Avg=2.87
10.132.95.212 Avg=1.42033
10.132.95.238 Avg=2.31
10.132.95.254 Avg=2.43667
10.132.96.6 Avg=2.77667
10.132.96.109 Avg=2.34333
10.132.96.193 Avg=2.21
10.132.96.252 Avg=2.39333
10.132.98.89 Avg=2.18
10.132.101.90 Avg=1.49
10.132.101.187 Avg=4.12667
10.132.102.49 Avg=1.92333
10.132.102.70 Avg=2.53667
10.132.103.97 Avg=2.39
10.132.104.246 Avg=3.17
10.132.105.70 Avg=2.37667
10.132.107.204 Avg=2.14
10.132.111.158 Avg=2.42
10.132.112.18 Avg=1.80667
10.132.112.67 Avg=2.05
10.132.114.252 Avg=2.67667
10.132.115.214 Avg=2.23333
10.132.117.199 Avg=1.90667
10.132.119.148 Avg=2.04
10.132.124.184 Avg=2.14333
10.132.127.52 Avg=2.48667
10.132.127.254 Avg=0.579667
